dates,cases
02-01-15,"['fever', 'nausea', 'nausea', 'COPD', 'nausea', 'Pneumonia', 'asthma', 'asthma', 'heart problem', 'Pneumonia', 'fever', 'nausea', 'Pneumonia', 'fever', 'COPD', 'heart problem', 'asthma', 'Pneumonia', 'Bronchitis', 'nausea']"
06-01-15,"['COPD', 'nausea', 'Pneumonia', 'heart problem', 'Pneumonia', 'heart problem', 'COPD', 'COPD', 'Bronchitis', 'nausea', 'Bronchitis', 'asthma', 'fever', 'Bronchitis', 'heart problem', 'heart problem', 'heart problem', 'heart problem', 'Bronchitis', 'fever']"
09-01-15,"['fever', 'Bronchitis', 'asthma', 'Bronchitis', 'Pneumonia', 'Pneumonia', 'nausea', 'Pneumonia', 'heart problem', 'Bronchitis', 'Bronchitis', 'asthma', 'Pneumonia', 'heart problem', 'nausea', 'Bronchitis', 'fever', 'COPD', 'Pneumonia', 'Pneumonia']"
13-01-15,"['nausea', 'Pneumonia', 'Pneumonia', 'fever', 'nausea', 'Pneumonia', 'Bronchitis', 'nausea', 'Pneumonia', 'asthma', 'asthma', 'asthma', 'COPD', 'asthma', 'Pneumonia', 'fever', 'heart problem', 'asthma', 'Bronchitis', 'fever']"
16-01-15,"['Pneumonia', 'COPD', 'nausea', 'Pneumonia', 'asthma', 'Bronchitis', 'Pneumonia', 'nausea', 'heart problem', 'nausea', 'nausea', 'fever', 'COPD', 'Pneumonia', 'heart problem', 'COPD', 'COPD', 'nausea', 'heart problem', 'fever']"
20-01-15,"['asthma', 'nausea', 'fever', 'fever', 'Pneumonia', 'fever', 'Bronchitis', 'fever', 'asthma', 'fever', 'nausea', 'fever', 'fever', 'Pneumonia', 'heart problem', 'fever', 'nausea', 'COPD', 'Pneumonia', 'nausea']"
23-01-15,"['asthma', 'COPD', 'asthma', 'Pneumonia', 'nausea', 'COPD', 'Pneumonia', 'fever', 'nausea', 'heart problem', 'asthma', 'nausea', 'nausea', 'fever', 'fever', 'heart problem', 'heart problem', 'asthma', 'Bronchitis', 'COPD']"
27-01-15,"['asthma', 'nausea', 'nausea', 'fever', 'asthma', 'Bronchitis', 'nausea', 'COPD', 'fever', 'Pneumonia', 'COPD', 'nausea', 'COPD', 'Pneumonia', 'COPD', 'Bronchitis', 'asthma', 'Pneumonia', 'heart problem', 'nausea']"
30-01-15,"['heart problem', 'COPD', 'asthma', 'fever', 'heart problem', 'fever', 'fever', 'Pneumonia', 'heart problem', 'Pneumonia', 'heart problem', 'COPD', 'Pneumonia', 'heart problem', 'fever', 'Bronchitis', 'fever', 'heart problem', 'COPD', 'asthma']"
03-02-15,"['asthma', 'asthma', 'asthma', 'heart problem', 'Pneumonia', 'heart problem', 'heart problem', 'Pneumonia', 'asthma', 'Pneumonia', 'asthma', 'COPD', 'COPD', 'asthma', 'heart problem', 'asthma', 'asthma', 'heart problem', 'COPD', 'Bronchitis']"
06-02-15,"['nausea', 'Bronchitis', 'COPD', 'heart problem', 'asthma', 'fever', 'fever', 'fever', 'Bronchitis', 'heart problem', 'Pneumonia', 'heart problem', 'Pneumonia', 'fever', 'nausea', 'heart problem', 'fever', 'COPD', 'nausea', 'Bronchitis']"
10-02-15,"['heart problem', 'asthma', 'nausea', 'Pneumonia', 'heart problem', 'nausea', 'fever', 'heart problem', 'fever', 'asthma', 'COPD', 'Bronchitis', 'COPD', 'nausea', 'asthma', 'Pneumonia', 'COPD', 'asthma', 'asthma', 'asthma']"
13-02-15,"['Pneumonia', 'heart problem', 'asthma', 'asthma', 'asthma', 'COPD', 'heart problem', 'Pneumonia', 'COPD', 'heart problem', 'Bronchitis', 'fever', 'heart problem', 'heart problem', 'heart problem', 'nausea', 'nausea', 'Pneumonia', 'asthma', 'Bronchitis']"
