"","dates","Nephrology","G.I..Surgery","Orthopaedic","Cardiology","Psychiatry","Paediatric","Chronic.Obstructive.Pulmonary.Disease","Pneumonia","emphysema"
"1",2015-01-01,2,2,7,5,5,9,6,6,15
"2",2015-01-02,8,13,15,2,3,12,8,9,12
"3",2015-01-03,1,11,6,3,3,14,3,9,3
"4",2015-01-04,14,5,11,4,5,0,10,1,9
"5",2015-01-05,2,12,0,1,12,6,14,13,8
"6",2015-01-06,8,5,4,11,9,7,3,14,4
"7",2015-01-07,0,14,0,1,5,5,4,14,10
"8",2015-01-08,2,9,8,11,9,12,7,2,6
"9",2015-01-09,15,0,3,2,9,13,9,8,12
"10",2015-01-10,5,4,11,9,11,5,8,15,14
"11",2015-01-11,7,14,15,14,0,1,0,8,14
"12",2015-01-12,14,5,14,13,14,15,0,4,8
"13",2015-01-13,0,13,12,5,8,4,1,10,11
"14",2015-01-14,9,11,12,2,6,3,13,0,9
"15",2015-01-15,2,13,13,2,3,14,2,6,0
"16",2015-01-16,3,7,11,0,14,4,9,1,6
"17",2015-01-17,11,11,15,10,7,9,14,7,4
"18",2015-01-18,10,9,11,4,15,1,0,11,0
"19",2015-01-19,8,7,1,9,10,11,8,3,3
"20",2015-01-20,0,2,5,9,5,11,12,10,6
"21",2015-01-21,9,12,15,4,4,1,14,10,4
"22",2015-01-22,0,6,6,0,2,8,15,12,0
"23",2015-01-23,8,2,2,8,7,15,4,3,6
"24",2015-01-24,2,5,11,8,11,11,4,5,0
"25",2015-01-25,15,13,5,8,11,11,11,13,2
"26",2015-01-26,11,6,6,2,2,11,13,3,15
"27",2015-01-27,4,2,14,10,14,8,2,7,10
"28",2015-01-28,0,3,0,13,15,15,3,15,2
"29",2015-01-29,5,8,11,15,4,9,10,15,15
"30",2015-01-30,3,2,15,10,3,8,4,3,8
"31",2015-01-31,13,5,3,0,4,9,0,11,15
"32",2015-02-01,7,12,12,8,2,3,14,14,2
"33",2015-02-02,5,1,8,1,0,9,12,0,11
"34",2015-02-03,5,6,1,10,7,7,4,10,5
"35",2015-02-04,14,0,4,8,0,8,0,7,11
"36",2015-02-05,1,7,4,6,14,13,5,5,13
"37",2015-02-06,0,6,8,0,13,12,9,5,1
"38",2015-02-07,3,12,14,9,3,13,13,9,7
"39",2015-02-08,3,15,9,11,4,6,5,3,7
"40",2015-02-09,4,2,11,7,11,9,9,13,0
"41",2015-02-10,7,4,15,0,7,2,11,1,12
"42",2015-02-11,5,4,0,9,4,12,0,1,9
"43",2015-02-12,7,11,2,4,4,2,9,10,6
"44",2015-02-13,9,1,7,10,10,6,1,12,13
"45",2015-02-14,0,7,1,11,4,15,8,4,5
"46",2015-02-15,9,9,4,6,4,15,1,10,5
"47",2015-02-16,10,15,4,6,3,6,11,14,12
"48",2015-02-17,2,3,3,2,3,15,7,7,1
"49",2015-02-18,12,13,10,1,1,12,13,14,13
"50",2015-02-19,3,9,10,9,5,6,14,6,9
"51",2015-02-20,10,14,10,14,14,15,3,9,6
"52",2015-02-21,13,4,15,3,11,9,3,4,10
"53",2015-02-22,12,14,4,4,8,9,10,11,8
"54",2015-02-23,14,3,7,0,13,12,7,10,6
"55",2015-02-24,15,6,3,5,10,9,5,2,7
"56",2015-02-25,6,1,10,0,10,0,7,11,2
"57",2015-02-26,12,12,6,1,12,13,9,15,10
"58",2015-02-27,3,7,3,10,14,8,10,15,1
"59",2015-02-28,10,10,5,5,6,10,14,10,0
"60",2015-03-01,12,14,3,13,3,10,9,8,4
"61",2015-03-02,8,10,8,7,7,11,6,3,11
"62",2015-03-03,11,9,15,1,11,8,7,13,1
"63",2015-03-04,13,10,7,12,0,11,4,10,14
"64",2015-03-05,11,1,10,9,6,1,3,13,2
"65",2015-03-06,1,3,11,10,9,4,14,1,12
"66",2015-03-07,0,8,4,13,15,1,14,0,4
"67",2015-03-08,4,3,4,4,0,8,2,1,14
"68",2015-03-09,7,13,14,2,1,6,7,9,2
"69",2015-03-10,1,12,4,1,3,9,0,0,5
"70",2015-03-11,14,15,3,2,5,6,3,5,7
"71",2015-03-12,4,6,12,2,2,9,1,12,11
"72",2015-03-13,11,1,7,6,3,4,8,6,6
"73",2015-03-14,9,6,0,10,1,11,11,1,14
"74",2015-03-15,3,7,8,4,9,5,9,5,0
"75",2015-03-16,14,13,1,12,5,11,3,1,14
"76",2015-03-17,1,12,10,2,7,8,4,7,6
"77",2015-03-18,4,13,4,3,15,13,0,10,14
"78",2015-03-19,5,13,5,15,11,2,14,10,6
"79",2015-03-20,15,9,11,12,8,15,2,6,9
"80",2015-03-21,3,11,1,1,9,10,12,8,15
"81",2015-03-22,7,9,9,7,4,10,8,11,5
"82",2015-03-23,4,8,14,6,2,6,7,14,8
"83",2015-03-24,5,4,6,9,15,15,13,7,9
"84",2015-03-25,4,13,13,6,15,12,2,13,12
"85",2015-03-26,10,2,4,1,5,3,14,5,12
"86",2015-03-27,10,13,10,9,3,10,7,13,5
"87",2015-03-28,11,3,6,15,10,1,13,10,0
"88",2015-03-29,13,3,9,10,5,8,11,15,5
"89",2015-03-30,1,1,2,10,7,14,13,7,1
"90",2015-03-31,9,15,11,8,1,6,9,5,11
"91",2015-04-01,9,7,9,6,11,15,1,13,1
"92",2015-04-02,10,4,11,2,4,2,11,1,0
"93",2015-04-03,9,2,11,14,3,12,0,13,9
"94",2015-04-04,4,8,15,0,1,3,3,10,9
"95",2015-04-05,5,10,4,6,6,0,3,3,4
"96",2015-04-06,6,7,12,2,1,15,13,6,8
"97",2015-04-07,10,8,2,15,9,9,0,3,4
"98",2015-04-08,9,0,3,8,12,1,5,10,7
"99",2015-04-09,14,13,9,1,14,0,13,11,7
"100",2015-04-10,1,14,2,0,3,5,2,15,3
"101",2015-04-11,9,6,8,11,11,11,2,13,7
"102",2015-04-12,1,4,13,14,14,0,12,4,13
"103",2015-04-13,13,7,2,11,15,0,9,0,13
"104",2015-04-14,9,9,4,4,5,11,7,9,4
"105",2015-04-15,14,3,9,1,9,9,0,13,15
"106",2015-04-16,2,2,7,2,7,7,0,13,10
"107",2015-04-17,6,12,5,3,8,10,4,8,2
"108",2015-04-18,13,9,12,7,6,0,15,11,0
"109",2015-04-19,3,1,5,5,5,2,13,4,14
"110",2015-04-20,9,7,9,1,5,8,9,7,3
"111",2015-04-21,11,4,14,11,1,5,4,4,4
"112",2015-04-22,5,6,12,4,7,12,3,5,15
"113",2015-04-23,7,12,0,2,3,3,7,13,9
"114",2015-04-24,0,15,9,7,6,2,1,15,13
"115",2015-04-25,3,9,0,10,11,14,2,10,8
"116",2015-04-26,12,7,6,11,4,8,14,2,11
"117",2015-04-27,9,8,3,7,6,2,1,0,13
"118",2015-04-28,14,8,13,3,15,7,2,6,14
"119",2015-04-29,1,6,11,3,4,2,10,15,8
"120",2015-04-30,4,1,7,15,1,0,5,15,12
"121",2015-05-01,7,12,13,7,12,0,4,14,0
"122",2015-05-02,5,12,8,13,4,2,3,10,12
"123",2015-05-03,15,15,6,8,11,2,9,3,2
"124",2015-05-04,14,11,4,12,3,3,6,10,13
"125",2015-05-05,14,9,9,1,10,14,8,4,0
"126",2015-05-06,8,1,2,9,6,7,8,1,13
"127",2015-05-07,0,13,9,7,7,7,12,6,13
"128",2015-05-08,2,9,8,5,9,3,1,9,3
"129",2015-05-09,1,13,12,8,2,14,15,13,10
"130",2015-05-10,8,1,14,7,9,12,12,8,6
"131",2015-05-11,15,8,4,5,1,4,10,7,5
"132",2015-05-12,7,4,7,14,9,12,6,5,14
"133",2015-05-13,0,14,3,0,14,1,0,0,13
"134",2015-05-14,5,12,0,8,13,3,8,8,11
"135",2015-05-15,6,1,12,6,5,7,1,12,2
"136",2015-05-16,6,6,1,3,0,14,6,4,1
"137",2015-05-17,4,14,2,3,5,13,8,3,13
"138",2015-05-18,4,12,0,15,6,3,2,3,0
"139",2015-05-19,9,2,4,15,2,14,8,1,10
"140",2015-05-20,6,15,4,6,5,15,1,7,15
"141",2015-05-21,11,11,2,4,1,12,12,7,6
"142",2015-05-22,5,13,6,7,9,5,5,13,1
"143",2015-05-23,12,7,11,4,14,12,12,1,3
"144",NA,9,9,11,6,NA,NA,0,4,6
"145",2015-05-25,10,15,10,10,5,13,12,13,9
"146",2015-05-26,10,2,0,10,13,14,6,15,15
"147",2015-05-27,8,13,13,1,13,15,3,8,10
"148",2015-05-28,10,11,2,9,15,1,14,10,7
"149",2015-05-29,2,1,14,13,13,10,14,3,9
"150",2015-05-30,3,5,4,15,10,4,14,10,7
"151",2015-05-31,5,14,12,8,7,1,7,6,11
"152",2015-06-01,7,9,7,6,6,11,6,8,0
"153",2015-06-02,3,15,13,3,7,6,6,6,7
"154",2015-06-03,9,2,13,2,13,8,1,4,3
"155",2015-06-04,12,15,8,8,11,14,3,9,15
"156",2015-06-05,10,6,9,14,5,3,9,10,12
"157",2015-06-06,8,12,7,8,6,9,11,0,5
"158",2015-06-07,15,5,2,7,3,12,15,7,3
"159",2015-06-08,9,9,15,3,13,11,2,7,7
"160",2015-06-09,13,5,8,14,14,5,11,2,12
"161",2015-06-10,15,14,15,5,7,8,6,7,9
"162",2015-06-11,1,14,6,4,5,10,15,3,0
"163",2015-06-12,12,0,1,4,0,1,14,3,14
"164",2015-06-13,3,13,8,3,13,9,1,5,2
"165",2015-06-14,8,3,4,5,11,15,6,10,5
"166",2015-06-15,6,11,9,6,9,3,3,12,4
"167",2015-06-16,10,9,14,6,11,2,10,9,6
"168",2015-06-17,14,13,3,8,9,6,1,10,11
"169",2015-06-18,14,8,5,6,1,8,13,15,3
"170",2015-06-19,2,11,3,10,2,10,9,9,5
"171",2015-06-20,6,10,13,2,11,6,15,2,2
"172",2015-06-21,14,5,7,5,6,13,9,13,11
"173",2015-06-22,4,10,12,11,15,3,13,0,12
"174",2015-06-23,8,14,6,12,5,14,8,12,3
"175",2015-06-24,8,12,14,7,4,1,12,10,11
"176",2015-06-25,2,3,10,14,15,8,15,12,9
"177",2015-06-26,3,8,14,1,4,6,8,2,12
"178",2015-06-27,2,15,12,2,5,13,9,0,0
"179",2015-06-28,11,0,4,6,15,15,5,13,14
"180",2015-06-29,0,10,10,6,1,5,6,2,4
"181",2015-06-30,12,15,13,7,5,12,7,3,10
"182",2015-07-01,9,2,11,1,11,11,0,2,7
"183",2015-07-02,9,14,12,2,8,14,4,13,12
"184",2015-07-03,2,12,13,13,14,9,0,7,9
"185",2015-07-04,11,14,11,3,1,14,10,3,13
"186",2015-07-05,1,7,9,4,8,0,14,12,15
"187",2015-07-06,13,2,8,12,5,14,2,13,4
"188",2015-07-07,5,1,8,15,11,7,12,8,5
"189",2015-07-08,4,0,12,3,4,14,5,15,6
"190",NA,2,10,10,11,NA,NA,11,0,12
"191",2015-07-10,0,14,11,12,8,5,4,11,13
"192",2015-07-11,4,5,2,5,15,7,9,13,10
"193",2015-07-12,15,1,14,14,9,6,10,12,10
"194",2015-07-13,6,3,12,12,5,14,8,2,9
"195",2015-07-14,15,7,9,4,4,8,9,15,12
"196",2015-07-15,14,13,11,0,5,4,5,5,0
"197",2015-07-16,9,8,14,15,3,15,3,3,9
"198",2015-07-17,11,0,5,8,7,6,7,5,12
"199",2015-07-18,12,13,7,6,7,1,5,4,8
"200",2015-07-19,15,2,4,12,8,12,5,11,13
"201",2015-07-20,9,0,7,12,5,1,14,10,7
"202",2015-07-21,8,5,3,11,3,10,0,0,11
"203",2015-07-22,14,7,6,8,11,7,14,8,7
"204",2015-07-23,14,6,10,3,10,14,8,5,14
"205",2015-07-24,13,2,5,5,2,12,13,9,5
"206",2015-07-25,3,14,14,0,4,3,0,8,11
"207",2015-07-26,13,4,1,8,5,13,2,14,0
"208",2015-07-27,13,9,4,9,15,6,13,7,13
"209",2015-07-28,5,0,0,7,2,6,0,3,10
"210",2015-07-29,0,12,1,0,3,11,13,10,6
"211",2015-07-30,1,10,5,9,12,1,13,7,15
"212",2015-07-31,12,14,14,2,10,15,10,5,1
"213",2015-08-01,14,14,6,0,0,4,13,15,1
"214",2015-08-02,1,10,4,13,10,4,11,1,7
