"","dates","so2","no2","pm10","pm2.5","dates.1","Nephrology","G.I..Surgery","Orthopaedic","Cardiology","Psychiatry","Paediatric","Chronic.Obstructive.Pulmonary.Disease","Pneumonia","emphysema"
"1","2015-01-02",5.375,17.625,115.625,66.875,"2015-01-02",6,8,10,13,9,10,10,10,18
"2","2015-01-06",5.4,21.4,109.6,82.6,"2015-01-06",12,19,18,10,7,13,12,13,15
"3","2015-01-09",4,17.3333333333333,107.777777777778,64.2222222222222,"2015-01-09",5,17,9,11,7,15,7,13,6
"4","2015-01-13",4.14285714285714,19.5714285714286,114.857142857143,68.4285714285714,"2015-01-13",18,11,14,12,9,1,14,5,12
"5","2015-01-16",6.6,23.6,128.2,84.2,"2015-01-16",6,18,3,9,16,7,18,17,11
"6","2015-01-20",9,24,165.5,112,"2015-01-20",12,11,7,19,13,8,7,18,7
"7","2015-01-23",7.33333333333333,26.3333333333333,137.666666666667,104.666666666667,"2015-01-23",4,20,3,9,9,6,8,18,13
"8","2015-01-27",5.78571428571429,19.1428571428571,119.571428571429,71.7142857142857,"2015-01-27",6,15,11,19,13,13,11,6,9
"9","2015-01-30",6.8,23,122.8,77.8,"2015-01-30",19,6,6,10,13,14,13,12,15
"10","2015-02-03",7.4,20.8,151.8,84.2,"2015-02-03",9,10,14,17,15,6,12,19,17
"11","2015-02-06",9.2,22.8,138.6,77.6,"2015-02-06",11,20,18,22,4,2,4,12,17
"12","2015-02-10",5.71428571428571,21,148.428571428571,65.8571428571429,"2015-02-10",18,11,17,21,18,16,4,8,11
"13","2015-02-13",5.6,21.6,111.4,61,"2015-02-13",4,19,15,13,12,5,5,14,14
"14","2015-02-16",5.55555555555556,17.6666666666667,108,61.6666666666667,"2015-02-16",13,17,15,10,10,4,17,4,12
"15","2015-02-18",3.8,18.2,108.4,52.4,"2015-02-18",6,19,16,10,7,15,6,10,3
"16","2015-02-25",4.5,20,92.5,46.75,"2015-02-25",7,13,14,8,18,5,13,5,9
"17","2015-02-28",5.66666666666667,22,112.666666666667,61,"2015-02-28",15,17,18,18,11,10,18,11,7
"18","2015-09-01",4.64285714285714,16.8571428571429,73.2857142857143,34.0714285714286,"2015-09-01",14,15,14,12,19,2,4,15,3
"19","2015-09-04",6.5,24.25,70.75,39.25,"2015-09-04",12,13,4,17,14,12,12,7,6
