"","X.1","X","dates","so2","no2","pm10","pm2.5","dates.1","Nephrology","G.I..Surgery","Orthopaedic","Cardiology","Psychiatry","Paediatric","Chronic.Obstructive.Pulmonary.Disease","Pneumonia","emphysema"
"1",1,1,2,5,17,115,66,2,6,8,10,13,9,10,10,35,6
"2",2,2,5,5,21,109,82,5,12,19,18,10,7,13,12,109,9
"3",3,3,8,4,17,107,64,8,5,17,9,11,7,15,7,107,12
"4",4,4,11,4,19,114,68,11,18,11,14,12,9,1,14,114,5
"5",5,5,14,6,23,128,84,14,6,18,3,9,16,7,18,33,-7
"6",6,6,17,9,24,165,112,17,12,11,7,19,13,8,7,165,112
"7",7,7,20,7,26,137,104,20,4,20,3,9,9,6,8,137,104
"8",8,8,22,5,19,119,71,22,6,15,11,19,13,13,11,119,71
"9",9,9,25,6,23,122,77,25,19,6,6,10,13,14,13,122,11
"10",10,10,28,7,20,151,84,28,9,10,14,17,15,6,12,151,84
"11",11,11,31,9,22,138,77,31,11,20,18,22,4,2,4,138,3
"12",12,12,34,5,21,148,65,34,18,11,17,21,18,16,4,47,65
"13",13,13,37,5,21,111,61,37,4,19,15,13,12,5,5,54,61
"14",14,14,40,5,17,108,61,40,13,17,15,10,10,4,17,44,14
"15",15,15,42,3,18,108,52,42,6,19,16,10,7,15,6,108,-7
"16",16,16,48,4,20,92,46,48,7,13,14,8,18,5,13,32,6
"17",17,17,51,5,22,112,61,51,15,17,18,18,11,10,18,36,61
"18",18,18,206,4,16,73,34,206,14,15,14,12,19,2,4,50,34
"19",19,19,209,6,24,70,39,209,12,13,4,17,14,12,12,70,39
"20",20,20,211,6,15,76,35,211,4,8,8,17,9,12,16,46,11
"21",21,21,214,8,18,68,33,214,13,18,18,12,8,2,18,68,4
"22",22,22,217,4,15,63,25,217,4,12,9,8,6,9,19,63,13
"23",23,23,220,6,21,72,36,220,12,8,5,16,11,16,8,52,12
"24",24,24,223,5,15,68,32,223,6,11,14,16,15,12,8,52,-4
"25",25,25,226,4,19,67,34,226,19,19,8,16,15,12,15,67,-6
"26",26,26,230,4,19,69,40,230,15,12,9,10,6,12,17,69,-5
"27",27,27,231,7,17,96,43,231,8,8,17,18,18,9,6,96,43
"28",28,28,235,5,15,83,38,235,4,9,3,21,19,16,7,83,38
"29",29,29,238,5,22,83,46,238,9,14,14,23,8,10,14,83,46
"30",30,30,241,5,16,88,38,241,7,8,18,18,7,9,8,30,-2
"31",31,31,244,6,16,79,33,244,17,11,6,8,8,10,4,79,33
"32",32,32,247,10,19,106,42,247,11,18,15,16,6,4,18,106,42
"33",33,33,250,4,23,81,36,250,9,7,11,9,4,10,16,81,36
"34",34,34,252,7,22,105,46,252,9,12,4,18,11,8,8,36,46
"35",35,35,255,5,17,88,39,255,18,6,7,16,4,9,4,88,39
"36",36,36,258,6,16,80,33,258,5,13,7,14,18,14,9,80,3
"37",37,37,261,3,18,82,34,261,4,12,11,8,17,13,13,82,34
"38",38,38,264,9,25,123,68,264,7,18,17,17,7,14,17,123,68
"39",39,39,267,6,16,134,51,267,7,21,12,19,8,7,9,134,9
"40",40,40,269,6,16,99,35,269,8,8,14,15,15,10,13,44,35
"41",41,41,272,6,21,109,44,272,11,10,18,8,11,3,15,109,44
"42",42,42,275,5,24,96,52,275,9,10,3,17,8,13,4,96,52
"43",43,43,277,6,19,101,44,277,11,17,5,12,8,3,13,101,44
"44",44,44,281,6,17,108,48,281,13,7,10,18,14,7,5,108,48
"45",45,45,284,9,21,98,47,284,4,13,4,19,8,16,12,44,47
"46",46,46,287,7,18,99,48,287,13,15,7,14,8,16,5,39,-1
"47",47,47,290,8,20,110,50,290,14,21,7,14,7,7,15,110,50
"48",48,48,293,6,17,112,43,293,6,9,6,10,7,16,11,112,43
"49",49,49,296,7,20,107,41,296,16,19,13,9,5,13,17,107,5
"50",50,50,299,3,19,106,47,299,7,15,13,17,9,7,18,106,47
"51",51,51,302,8,27,132,77,302,14,20,13,22,18,16,7,132,-1
"52",52,52,305,4,19,120,53,305,17,10,18,11,15,10,7,42,53
"53",53,53,1,6,18,90,49,1,16,20,7,12,12,10,14,90,-2
"54",54,54,4,7,18,108,54,4,18,9,10,8,17,13,11,32,54
"55",55,55,7,6,17,104,59,7,19,12,6,13,14,10,9,33,59
"56",56,56,10,6,17,121,74,10,10,7,13,8,14,1,11,53,74
"57",57,57,13,6,16,127,74,13,16,18,9,9,16,14,13,51,9
"58",58,58,16,4,18,103,58,16,7,13,6,18,18,9,14,45,8
"59",59,59,19,5,17,118,65,19,14,16,8,13,10,11,18,118,65
"60",60,60,24,4,16,116,60,24,16,20,6,21,7,11,13,116,60
"61",61,61,27,4,15,112,59,27,8,10,8,7,7,11,6,54,9
"62",62,62,30,5,17,110,68,30,11,9,15,1,11,8,7,41,68
"63",63,63,33,4,16,105,56,33,13,10,7,12,0,11,4,105,56
"64",64,64,36,5,15,96,48,36,11,1,10,9,6,1,3,96,48
"65",65,65,43,5,17,109,56,43,1,3,11,10,9,4,14,53,56
"66",66,66,46,4,16,92,44,46,0,8,4,13,15,1,14,41,44
"67",67,67,49,5,15,94,50,49,4,3,4,4,0,8,2,9,50
"68",68,68,52,5,17,94,48,52,7,13,14,2,1,6,7,34,48
"69",69,69,55,5,19,111,49,55,1,12,4,1,3,9,0,31,49
"70",70,70,58,5,18,98,46,58,14,15,3,2,5,6,3,30,46
"71",71,71,61,5,16,108,48,61,4,6,12,2,2,9,1,108,8
"72",72,72,64,4,17,99,45,64,11,1,7,6,3,4,8,99,45
"73",73,73,67,5,16,108,52,67,9,6,0,10,1,11,11,108,52
"74",74,74,70,4,18,93,55,70,3,7,8,4,9,5,9,33,55
"75",75,75,73,5,18,101,46,73,14,13,1,12,5,11,3,101,4
"76",76,76,76,6,17,100,50,76,1,12,10,2,7,8,4,54,50
"77",77,77,79,5,16,107,49,79,4,13,4,3,15,13,0,107,49
"78",78,78,82,5,18,83,38,82,5,13,5,15,11,2,14,83,13
"79",79,79,85,5,16,91,48,85,15,9,11,12,8,15,2,91,48
"80",80,80,88,7,18,75,42,88,3,11,1,1,9,10,12,34,42
"81",81,81,91,5,16,88,47,91,7,9,9,7,4,10,8,88,47
"82",82,82,94,5,18,83,37,94,4,8,14,6,2,6,7,83,37
"83",83,83,97,6,19,81,34,97,5,4,6,9,15,15,13,53,-1
"84",84,84,100,4,17,68,32,100,4,13,13,6,15,12,2,68,32
"85",85,85,103,10,18,100,55,103,10,2,4,1,5,3,14,100,55
"86",86,86,106,5,18,75,31,106,10,13,10,9,3,10,7,50,31
"87",87,87,109,5,16,98,36,109,11,3,6,15,10,1,13,98,36
"88",88,88,112,6,19,85,38,112,13,3,9,10,5,8,11,85,38
"89",89,89,115,4,16,82,32,115,1,1,2,10,7,14,13,35,4
"90",90,90,118,6,19,79,34,118,9,15,11,8,1,6,9,79,34
"91",91,91,121,5,17,84,38,121,9,7,9,6,11,15,1,84,4
"92",92,92,124,5,19,77,34,124,10,4,11,2,4,2,11,35,34
"93",93,93,127,4,16,88,37,127,9,2,11,14,3,12,0,88,37
"94",94,94,130,6,18,75,37,130,4,8,15,0,1,3,3,75,37
