"","X","Stn.Code","Sampling.Date","State","City.Town.Village.Area","Location.of.Monitoring.Station","Agency","Type.of.Location","SO2","NO2","RSPM.PM10","PM.2.5","season","quarter","Type.of.Location.Binary.form"
"1",1,68,"02-01-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,24,143,102,"winter",1,0
"2",2,68,"06-01-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,23,133,96,"winter",1,0
"3",3,68,"09-01-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",8,25,125,116,"winter",1,0
"4",4,68,"13-01-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,25,137,107,"winter",1,0
"5",5,68,"16-01-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",9,26,186,118,"winter",1,0
"6",6,68,"20-01-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,23,178,153,"winter",1,0
"7",7,68,"23-01-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,26,171,146,"winter",1,0
"8",8,68,"27-01-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,26,161,137,"winter",1,0
"9",9,68,"30-01-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",12,24,158,127,"winter",1,0
"10",10,68,"03-02-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",8,24,207,152,"winter",1,0
"11",11,68,"06-02-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,24,208,125,"winter",1,0
"12",12,68,"10-02-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",9,25,192,96,"winter",1,0
"13",13,68,"13-02-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,26,186,110,"winter",1,0
"14",14,68,"16-02-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,25,180,118,"winter",1,0
"15",15,68,"18-02-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,24,186,99,"winter",1,0
"16",16,68,"25-02-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",12,26,171,119,"winter",1,0
"17",17,68,"28-02-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",13,25,169,108,"winter",1,0
"18",18,68,"01-09-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",9,24,68,47,"rainy",3,0
"19",19,68,"04-09-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,24,79,52,"rainy",3,0
"20",20,68,"08-09-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,24,76,57,"rainy",3,0
"21",21,68,"11-09-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,22,76,49,"rainy",3,0
"22",22,68,"15-09-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",8,22,36,17,"rainy",3,0
"23",23,68,"18-09-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,25,83,61,"rainy",3,0
"24",24,68,"22-09-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,24,76,43,"rainy",3,0
"25",25,68,"25-09-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,25,94,69,"rainy",3,0
"26",26,68,"30-09-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",8,25,89,63,"rainy",3,0
"27",27,68,"01-10-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,25,70,57,"winter",3,0
"28",28,68,"06-10-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",9,24,90,78,"winter",3,0
"29",29,68,"09-10-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,25,112,92,"winter",3,0
"30",30,68,"13-10-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,25,95,73,"winter",3,0
"31",31,68,"16-10-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,27,103,87,"winter",3,0
"32",32,68,"20-10-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",12,25,95,69,"winter",3,0
"33",33,68,"23-10-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,26,90,65,"winter",3,0
"34",34,68,"27-10-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,22,99,74,"winter",3,0
"35",35,68,"30-10-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,26,106,86,"winter",3,0
"36",36,68,"03-11-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,25,101,68,"winter",3,0
"37",37,68,"06-11-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,25,99,56,"winter",3,0
"38",38,68,"10-11-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,25,151,81,"winter",3,0
"39",39,68,"13-11-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,25,153,79,"winter",3,0
"40",40,68,"17-11-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,25,97,49,"winter",3,0
"41",41,68,"20-11-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,26,136,72,"winter",3,0
"42",42,68,"24-11-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,25,132,70,"winter",3,0
"43",43,68,"27-11-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,26,145,76,"winter",3,0
"44",44,68,"01-12-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",12,25,106,61,"winter",4,0
"45",45,68,"04-12-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,25,151,87,"winter",4,0
"46",46,68,"08-12-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,27,137,79,"winter",4,0
"47",47,68,"11-12-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",9,25,167,83,"winter",4,0
"48",48,68,"15-12-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",10,24,198,98,"winter",4,0
"49",49,68,"18-12-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",12,23,177,92,"winter",4,0
"50",50,68,"22-12-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,26,202,104,"winter",4,0
"51",51,68,"25-12-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",12,25,171,95,"winter",4,0
"52",52,68,"29-12-15","Odisha","Talcher","T.T.P.S.Colony, Talcher","Odisha State Pollution Control Board","Industrial Area",11,27,171,88,"winter",4,0
"53",53,70,"01-01-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",7,20,52,36,"winter",1,0
"54",54,70,"05-01-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,23,124,57,"winter",1,0
"55",55,70,"08-01-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",14,27,150,104,"winter",1,0
"56",56,70,"12-01-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",15,30,187,121,"winter",1,0
"57",57,70,"15-01-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",18,23,176,137,"winter",1,0
"58",58,70,"19-01-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,30,132,98,"winter",1,0
"59",59,70,"22-01-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",9,26,155,86,"winter",1,0
"60",60,70,"27-01-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,25,162,116,"winter",1,0
"61",61,70,"29-01-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",8,22,104,90,"winter",1,0
"62",62,70,"02-02-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",9,25,132,86,"winter",1,0
"63",63,70,"05-02-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,28,148,113,"winter",1,0
"64",64,70,"09-02-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,22,103,74,"winter",1,0
"65",65,70,"12-02-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,25,106,85,"winter",1,0
"66",66,70,"16-02-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,27,89,64,"winter",1,0
"67",67,70,"19-02-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,26,107,72,"winter",1,0
"68",68,70,"23-02-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,24,101,77,"winter",1,0
"69",69,70,"26-02-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",13,27,87,70,"winter",1,0
"70",70,70,"02-03-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,26,124,65,"summer",1,0
"71",71,70,"05-03-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,22,92,68,"summer",1,0
"72",72,70,"09-03-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",13,26,93,62,"summer",1,0
"73",73,70,"12-03-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,28,126,78,"summer",1,0
"74",74,70,"16-03-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",14,30,101,68,"summer",1,0
"75",75,70,"19-03-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,26,150,87,"summer",1,0
"76",76,70,"23-03-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,24,127,96,"summer",1,0
"77",77,70,"26-03-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",13,27,127,81,"summer",1,0
"78",78,70,"30-03-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,23,135,63,"summer",1,0
"79",79,70,"02-04-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",14,28,155,80,"summer",2,0
"80",80,70,"06-04-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,26,76,54,"summer",2,0
"81",81,70,"09-04-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,28,71,45,"summer",2,0
"82",82,70,"13-04-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,23,97,56,"summer",2,0
"83",83,70,"16-04-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,24,91,53,"summer",2,0
"84",84,70,"20-04-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",10,24,89,46,"summer",2,0
"85",85,70,"23-04-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",9,21,91,43,"summer",2,0
"86",86,70,"27-04-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",13,28,77,40,"summer",2,0
"87",87,70,"30-04-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",13,26,91,48,"summer",2,0
"88",88,70,"04-05-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",9,23,95,49,"summer",2,0
"89",89,70,"07-05-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",12,25,81,36,"summer",2,0
"90",90,70,"11-05-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",14,28,102,54,"summer",2,0
"91",91,70,"14-05-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,26,98,51,"summer",2,0
"92",92,70,"18-05-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",11,26,97,42,"summer",2,0
"93",93,70,"21-05-15","Odisha","Angul","Industrial Estate, Angul","Odisha State Pollution Control Board","Industrial Area",14,28,91,51,"summer",2,0
