"","dates","so2","no2","pm10","pm2.5"
"1","2015-01-02",5.375,17.625,115.625,66.875
"2","2015-01-06",5.4,21.4,109.6,82.6
"3","2015-01-09",4,17.3333333333333,107.777777777778,64.2222222222222
"4","2015-01-13",4.14285714285714,19.5714285714286,114.857142857143,68.4285714285714
"5","2015-01-16",6.6,23.6,128.2,84.2
"6","2015-01-20",9,24,165.5,112
"7","2015-01-23",7.33333333333333,26.3333333333333,137.666666666667,104.666666666667
"8","2015-01-27",5.78571428571429,19.1428571428571,119.571428571429,71.7142857142857
"9","2015-01-30",6.8,23,122.8,77.8
"10","2015-02-03",7.4,20.8,151.8,84.2
"11","2015-02-06",9.2,22.8,138.6,77.6
"12","2015-02-10",5.71428571428571,21,148.428571428571,65.8571428571429
"13","2015-02-13",5.6,21.6,111.4,61
"14","2015-02-16",5.55555555555556,17.6666666666667,108,61.6666666666667
"15","2015-02-18",3.8,18.2,108.4,52.4
"16","2015-02-25",4.5,20,92.5,46.75
"17","2015-02-28",5.66666666666667,22,112.666666666667,61
"18","2015-09-01",4.64285714285714,16.8571428571429,73.2857142857143,34.0714285714286
"19","2015-09-04",6.5,24.25,70.75,39.25
"20","2015-09-08",6,15.6666666666667,76.4166666666667,35.0833333333333
"21","2015-09-11",8.28571428571429,18.5714285714286,68,33.5714285714286
"22","2015-09-15",4.8,15.4,63.7333333333333,25.9333333333333
"23","2015-09-18",6.75,21.25,72.75,36.75
"24","2015-09-22",5.66666666666667,15.6666666666667,68.4166666666667,32.0833333333333
"25","2015-09-25",4.2,19,67.6,34.7
"26","2015-09-30",4,19.4,69.6,40.2
"27","2015-10-01",7.0625,17,96.375,43.125
"28","2015-10-06",5.92307692307692,15.7692307692308,83.6923076923077,38.3076923076923
"29","2015-10-09",5.33333333333333,22.8333333333333,83,46.3333333333333
"30","2015-10-13",5.64705882352941,16.2352941176471,88.0588235294118,38.2941176470588
"31","2015-10-16",6,16.2666666666667,79.1333333333333,33.6
"32","2015-10-20",10,19.7142857142857,106.428571428571,42
"33","2015-10-23",4.55555555555556,23.5555555555556,81.8888888888889,36.3333333333333
"34","2015-10-27",7.8,22.6,105.8,46.6
"35","2015-10-30",5.27272727272727,17.3636363636364,88.6363636363636,39.3636363636364
